
vinc,vict|胜，征服
province,'prɒvɪns,n. 省
province-wide,ˈprɒvɪnsˌwaɪd,adj.全省的adv.全省地
provincial,prə'vɪnʃl,adj. 省的；地方的；偏狭的 n. 乡下人；地方人民
provincially,prə'vɪnʃəli,adv. 以地方 地方性.
provinciality,prəˌvɪnʃɪ'ælɪtɪ,n. 乡下习气；粗鄙
provincialism,prə'vɪnʃlɪzəm,n. 地方主义；地方风格；方言；偏狭性
victor,'vɪktə(r),n. 胜利者 Victor. n. 维克托(男子名)
victory,'vɪktəri,n. 胜利；成功
victorious,vɪk'tɔːriəs,adj. 胜利的；得胜的
victoriously,vɪk'tɔːriəsli,adv. 胜利地
Victorian,vɪk'tɔːriən,adj. 维多利亚女王时代的 n. 维多利亚女王时代的人
Victorian-era,vik'tɔ:riən-'ɪərə,n.维多利亚时代
Victorian-style,vik'tɔ:riən-staɪl,n.维多利亚风格
late-Victorian,[leɪt-vik'tɔ:riən,adj.维多利亚晚期
neo-Victorian,'ni:əu-vik'tɔ:riən,adj.新维多利亚的
victim,'vɪktɪm,n. 受害者；受骗者；牺牲
victimless,'vɪktɪmləs,adj. (犯罪行为等)无受害人的；不侵害他人的
victimize,'vɪktɪmaɪz,v. 使牺牲；使受骗；使受害；欺负
victimized,'vɪktɪmaɪz,v. 使牺牲；使受骗；使受害；欺负
victimization,ˌvɪktɪmaɪ'zeɪʃn,n. 牺牲；欺骗
victimizer,'vɪktɪmaɪz,v. 使牺牲；使受骗；使受害；欺负
convince,kən'vɪns,vt. 使确信；使信服；说服
convinced,kən'vɪnst,adj. 信服的；确信的
unconvinced,ˌʌnkən'vɪnst,adj. 不信服的
convincing,kən'vɪnsɪŋ,adj. 使人信服的；有力的；令人心悦诚服的 动词convince的现在分词.
unconvincing,ˌʌnkən'vɪnsɪŋ,adj. 不足以令人相信的；难以置信的
convincingly,kən'vɪnsɪŋli,adv. 令人信服地；有说服力地
unconvincingly,ˌʌnkən'vɪnsɪŋ,adj. 不足以令人相信的；难以置信的
convict,kən'vɪkt,vt. 宣判 ... 有罪；使 ... 知罪 n. 囚犯；罪犯 adj. 被定罪的
ex-convict,ˌeks'kɒnvɪkt,n. 从前曾被判刑的人
post-conviction,'pəʊstkənv'ɪkʃn,n. 判罪后
evict,ɪ'vɪkt,v. 驱逐；依法收回
eviction,ɪ'vɪkʃn,n. 逐出；赶出；收回（租房或租地等）
evicted,ɪ'vɪkt,v. 驱逐；依法收回
evince,ɪ'vɪns,v. 表明；表示
vincible,'vɪnsɪbl,adj. 容易征服的；易于克服的
invincible,ɪn'vɪnsəbl,adj. 不可征服的；不能战胜的
invincibility,ɪnˌvɪnsə'bɪləti,n. 无敌；绝对不败
vincristine,vɪŋ'krɪstiːn,n. [药]长春新碱(一种抗肿瘤药)

form|形式，格式，形成
form,fɔːm,n. 形式；形状；表格；良好的健康状态；表现状态；常规 v. 形成；建立
formation,fɔː'meɪʃn,n. 形成；队形；编队；构造；[地]地层
star-formation,stɑː-fɔː'meɪʃ(ə)n,n.星形队形
formative,'fɔːmətɪv,adj. 形成的；造形的；影响发展的 n. [语]构词成分
formal,'fɔːml,adj. 正式的；正规的；形式的；公开的；拘谨的；有条理的
formally,'fɔːməli,adv. 正式地；形式上地
informal,ɪn'fɔːml,adj. 非正式的；不拘形式的
informally,ɪn'fɔːməli,adv. 不拘礼节地；非正式地
formalize,'fɔːməlaɪz,v. 使正式化
formality,fɔː'mæləti,n. 礼节；程序；拘谨
life-form,'laɪff'ɔːm,n. 生物
formalism,'fɔːməlɪzəm,n. 拘泥形式；形式主义；虚礼
formalized,'fɔːməlaɪzd,adj. 形式化的，使程序化的 v. formalize的动词过去式、过去分词
waveform,'weɪvfɔːm,n. [物]波形
malformation,ˌmælfɔː'meɪʃn,n. 变形；畸形
informality,ˌɪnfɔː'mæləti,n. 非正式；不拘礼节
formless,'fɔːmləs,adj. 无定形的；形体不明的；没有形状的；无条理的
free-form,'fri:fɔ:m,adj. （只用在名词前）形式自由的 adv. 无限制地
unformed,ˌʌn'fɔːmd,adj. 未成形的；无成熟的；未充分发展的；尚未产生的
landform,'lændfɔːm,n. 地形；地貌
form-fitting,fɔːm-'fɪtɪŋ,adj.适体的，合 身的
star-forming,stɑː-'fɔːmɪŋ,n.产星
malformed,ˌmæl'fɔːmd,adj. 难看的；畸形的
forme,fɔːm,n. 组版；制鞋凳；一种鞋帮样式
nonformal,nɒn-'fɔːm(ə)l,adj.非正式的
formed,'fɔːmd,adj. 成形的 动词form的过去式和过去分词.
well-formed,ˌwel'fɔːmd,adj. 形式良好的；(说话)符合文法的
formalization,ˌfɔːməlaɪ'zeɪʃn,n. 形式化；仪礼化；正规化
formalistic,ˌfɔːmə'lɪstɪk,adj. 形式主义的；呆板的；拘束的
forming,'fɔːmɪŋ,n. 形成(成形法；模锻) v. 形成
semiformal,ˌsemɪ'fɔːməl,adj. 半正式的
habit-forming,'hæbit,fɔ:miŋ,adj. (尤指药物、毒品等)易使人上瘾的
formalist,'fɔːməlɪst,n. 拘泥形式的人；形式主义者；死板的人 adj. 拘泥于形式的；刻板的；形式主义的
formlessness,'fɔːmləs,adj. 无定形的；形体不明的；没有形状的；无条理的
long-form,lɒŋ-fɔːm,n.详细格式[ 计 ]长格式
newly-formed,n'juːliːf'ɔːmd,adj. 新成立的
anti-reform,ˈæntɪ-rɪ'fɔːm,adj.反传统形式的
multiform,'mʌltɪfɔːm,adj. 多种形式的
